ID,TARGET,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
46110,4,6,41,3,20,6,5.17,3.73,18,111,12,23,51,5,11,22,87600,36,38750
164513,50,2,2,1,1,20,12.5,12.5,18,27,11,23,19,5,11,9,0,33,0
5532,15,2,14,2,6,14,10,9.93,4,64,30,50,103,6,16,24,169000,50,83169
27634,5,5,16,3,7,15,7.8,5.38,25,103,8,25,43,4,13,17,123600,22,0
15046,10,3,22,3,16,10,6.67,2.64,24,131,4,13,49,2,7,24,59500,23,0
15066,10,4,24,2,10,11,10.25,8.96,19,111,13,33,73,6,17,31,44400,33,40000
15086,10,6,22,3,9,25,15.17,14.18,16,99,14,36,76,6,17,28,59500,23,0
15219,25,1,1,1,1,25,25,25,21,21,10,17,15,4,7,6,73000,36,50528
15332,10,2,13,1,6,11,10,6.54,17,77,13,32,56,6,15,22,72300,30,0
15384,15,2,2,1,1,15,10,10,18,29,10,23,21,4,9,8,45200,31,35302
15445,20,1,13,0,6,20,20,10.23,19,103,13,31,60,6,6,25,78200,25,58530
185774,12,6,44,2,10,10,19,15.48,5,187,29,51,118,11,22,38,65000,0,58530
15416,30,1,1,1,1,20,20,20,24,24,8,18,16,3,7,6,85900,25,51013
15651,10,4,14,2,7,10,8.5,6.93,23,127,12,32,68,6,15,29,149700,40,53466
15668,45,1,3,0,2,20,20,9.33,26,68,9,20,34,4,4,12,70700,27,40262
15697,20,2,3,0,1,20,16,14,19,44,14,31,35,6,6,13,53500,37,43481
15965,5,5,16,2,8,4,4.2,3.69,16,124,13,32,62,6,15,27,42900,23,37148
16014,10,2,13,1,6,20,17.5,10.54,26,116,10,32,62,5,16,30,62800,26,48625
16099,12,4,4,1,1,10,5.5,5.5,20,32,13,26,25,6,11,9,66000,18,41736
16175,30,1,1,1,1,25,25,25,24,24,6,16,14,2,6,5,44400,15,45566
16973,8,6,38,4,15,9,7.83,6.39,17,128,10,30,78,5,16,31,102400,29,0
