ID,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime2,diffSeTime3,diffSeTime4,diffSeTime5,diffSeTime6,diffSeTime7,diffSeTime8,diffSeTime9,diffSeTime10,diffSeTime11,diffSeTime12,diffSeTime13,diffSeTime14,alpha,Se,TARGET
1,2,-56,-0.33,-0.09,0.9,0.2,-11,12,4,-0.1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,32,-0.0009
2,470,-39,0.02,0.12,0.39,-0.6,-12,8,9,-1.6,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,34,-0.0011
4,-113,5,-0.12,0.11,1.06,0.6,-10,-7,-8,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,33,-0.0011
5,-411,-21,-0.17,0.07,1.33,-0.6,-11,0,2,0.1,30,30,30,30,30,30,30,30,30,30,30,30,30,32,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0.9,32,-0.0008
6,-105,-42,0.23,-0.06,0.92,-0.6,-12,10,11,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,28,-0.001
7,144,-40,0.31,-0.01,0.67,0.6,-10,5,-5,-0.2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.0012
9,229,-4,-0.45,0.05,0.58,-0.4,-11,-2,2,0.3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.0009
10,-60,14,0.22,0.15,0.89,-1.6,-13,-8,10,-0.2,29,30,30,30,30,30,30,30,30,30,30,30,30,30,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,30,-0.001
11,-206,8,0.35,0.12,1.02,-0.9,-12,-4,1,-0.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.0011
12,-261,-28,-0.09,0.02,1.02,0.4,-11,3,-8,-0.1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,27,-0.001
13,-145,-46,-0.23,0.04,0.89,-0.7,-12,2,-1,-0.1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,26,-0.0009
14,-27,-55,0.2,0.06,0.76,-0.9,-12,-1,4,-0.2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,26,-0.0008
15,-42,-57,0.3,0.07,0.77,-0.3,-11,-2,4,-0.2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,26,-0.0009
16,-61,-58,0.34,0.07,0.79,0.2,-11,-3,2,-0.2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,26,-0.001
17,-73,-59,0.33,0.08,0.81,0.4,-11,-4,-3,-0.3,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,26,-0.0011
20,-208,-57,0.1,0.11,0.91,-0.9,-12,-7,-5,0.1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,25,-0.0009
21,-335,-67,0.04,0.11,1.03,-0.8,-12,-6,-2,0,22,24,24,25,25,25,25,25,25,25,25,25,25,25,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.7,25,-0.0008
