ID,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,TARGET
1,118,-55,-0.28,-0.08,-0.2,-11,11,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.031
2,390,-45,-0.06,-0.07,-0.6,-12,11,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.034
3,68,6,0.11,0.15,0.6,-10,-9,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0,0,0,-0.001,0.033
4,-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.032
5,-411,-19,-0.18,0.02,-0.5,-11,-3,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.03
6,-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.028
7,-11,-43,0.34,-0.05,-0.4,-11,9,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,0.029
8,224,5,-0.35,0.06,-1.2,-12,1,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.03
10,-335,-3,0.27,0.13,-0.1,-11,-8,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.027
13,-165,-63,0.16,0.1,1,-10,-7,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.024
17,-368,-71,0.03,0.12,-0.8,-12,-7,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
21,556,-25,-0.08,0.03,-0.9,-12,4,0.009,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.025
23,-275,2,-0.13,0.07,0,-11,-4,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0,0,0.0001,0,-0.0009,0.022
24,-130,-15,-0.2,0.02,-0.9,-12,4,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
25,199,-14,0.04,-0.04,-1.2,-12,10,0.007,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.022
26,93,7,0.25,0.09,0,-11,-5,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,0.023
27,-31,9,0.13,0.11,0.4,-11,-7,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
28,-26,7,0.03,0.02,0.6,-10,8,-0.007,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.023
29,-128,5,-0.17,0.13,0.4,-11,-9,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.021
30,-194,3,-0.17,-0.04,0.2,-11,-2,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
31,102,-3,0.16,-0.03,0.2,-11,7,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
33,-234,1,-0.12,0.13,1,-10,-11,-0.009,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
34,-323,-7,-0.22,0.09,0.7,-10,-3,-0.007,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
35,-328,-15,-0.3,0.03,0.4,-11,4,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,0.018
36,200,-21,0.08,-0.12,-0.2,-11,17,0.011,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
37,384,-10,0.27,-0.02,0.3,-11,6,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
38,318,3,0.34,0.1,0.8,-10,-10,0.002,1,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0,-0.0002,0,-0.0006,0.023
40,-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.019
41,139,-39,0.23,-0.03,-0.5,-11,8,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
42,-113,-34,0.32,0.07,-0.8,-12,-2,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
43,-54,-38,0.39,0.01,0.1,-11,4,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,0.02
45,-81,-42,0.16,0.04,0.9,-10,1,-0.007,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
46,-83,-46,-0.23,0.04,0.9,-10,-1,-0.012,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
47,-27,-48,-0.38,0.01,0.4,-11,6,-0.009,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.019
48,294,-17,0.3,0.04,-0.2,-11,1,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
