AT,V,AP,RH,TARGET
6.61,38.91,1015.77,92.31,484.32
20.76,69.05,1001.89,77.86,442.82
18.12,44.63,1001.26,89.72,453.55
28.44,69.84,1003.25,68.24,426.69
31.46,71.29,1008.57,41.79,430.8
21.17,52.3,1009.67,88.88,444.5
24.57,49.5,1014.22,56.31,455.72
27.45,66.25,1009.3,77.58,437.37
26.75,69.45,1013.88,53.65,434.57
16.68,43.14,1018.39,76.48,459.83
23.03,54.42,1014.42,74.98,453.77
7.69,39.96,1023.9,89.18,478.05
16.5,44.2,1018.94,63.59,458.3
30.26,72.58,1007,65.51,425.71
10.95,43.8,1022.61,63.46,473.2
24.22,68.51,1013.23,74.96,440.01
20.51,42.23,1013.25,71.83,461.78
31.42,70.17,999.3,61.22,430.78
19.13,42.18,1001.45,98.77,456.04
21.41,50.32,1008.61,84.47,443.63
27.67,71.64,1004.41,78.14,433.29
10.48,39.58,1011.81,88.86,472.61
26.16,52.36,1013.62,58.52,453.08
20.71,46.63,1013.1,74.49,453.05
25.33,71.32,1007.05,85.31,434.68
12.45,40.1,1015.4,82.61,473.63
15.61,41.2,1016.12,75.28,467.81
8.85,40.22,1008.61,90.6,482.3
22.56,62.26,1012.11,63.16,445.33
25.09,57.43,1013.2,70.42,446.11
29.51,75.6,1017.92,50.61,431.18
15.06,41.85,1016.78,88.23,466.72
24.52,59.15,1014.03,74.83,439.55
4.24,39.9,1009.28,96.74,491.25
18.76,56.53,1020.04,86.62,452.5
22.26,60.77,1018.26,85.94,442.58
25.76,73.5,1011.44,81.36,437
14.68,41.23,998.43,83.71,469.25
28.91,58.33,1013.84,39.72,437.53
30.57,69.71,1008.94,59.99,439.38
7.69,38.06,1020.72,83.47,483.54
22.69,54.2,1012.92,65.55,444.26
14.49,41.92,1030.3,56.62,463.81
17.55,45.87,1008.07,80.98,454.29
23.19,58.82,1009.96,81.05,446.44
15.28,44.58,1016.45,83.07,467.92
23.68,68.3,1017.93,84.16,438.65
27.71,75.23,1010.21,59.75,440.7
24.67,68.61,1010.71,57.47,450.64
26.3,61.41,1012.45,56.85,448.55
21.81,63.77,1014.28,83.66,444.52
18.91,59.21,1017.76,90.49,450.24
25.63,58.86,1014.86,52.75,443.84
22.84,71.25,1001.9,96.45,433.85
28.29,68.67,1005.46,69.22,436.4
20.95,44.89,1010.48,67.97,450.39
15.79,58.86,1015.85,91.91,455.15
28.45,69.23,1013.07,39.46,436.96
23.63,60.93,1006.41,83.06,439.9
24.97,50.23,1015.6,56.79,454.35
7.06,41.38,1021.94,83.55,487.71
29.28,77.17,1009.4,76.3,433.14
31.05,69.13,1000.38,58.49,426.31
10.45,40,1019.01,89.01,465.43
19.23,45.01,1012.24,72.91,450.77
20.08,62.52,1017.99,75.74,450.98
12.68,41.16,1020.09,83.32,464.93
14.41,43.13,1016.32,59.55,467.46
12.37,46.97,1013.95,90.76,464.4
17.48,49.39,1021.51,84.53,460.01
12.47,45.01,1017.8,95.25,467.18
6.12,40.81,1014.77,88.15,487.24
26.41,60.93,1007.16,66.02,436.71
8.53,40.02,1031.27,85.57,476.73
18.03,58.86,1015.99,89.03,450.33
9.75,52.72,1026.03,78.53,473.41
15.62,58.59,1013.91,97.6,457.3
14.5,41.76,1023.94,84.42,464.23
15.36,41.35,1002.4,91.67,465.01
24.8,66.51,1016.74,65.72,441.34
6.75,39.9,1008.3,87.42,484.05
21.96,58.79,1012.1,88.74,447.31
17.33,41.35,999.51,68.36,460.46
11.47,40.27,1005.39,77.4,479.44
13.8,42.99,1007.16,67.28,470.93
13.54,40.69,1015.85,77.55,471.05
22.32,70.47,1010.97,83.16,441.87
29.3,70.04,1010.95,61.23,426.25
28.05,62.6,1017.01,46.46,449.73
18.7,52.72,1024.84,57.72,458.06
25.42,75.6,1017.39,77.63,438.24
20.57,63.78,1016.76,74,449.93
24.42,63.07,1011.49,67.39,444.72
25.97,57.32,1012.13,47.48,442.73
21.39,52.3,1009.2,79.77,446.87
11.4,52.75,1023.31,75.7,465.79
20.03,66.86,1013.05,64.59,450.93
20.99,50.12,1008.82,95.97,448.07
31.87,70.94,1006.94,50.78,429.41
19.4,42.44,1013.19,58.63,459.76
9.76,39.16,1014.19,85.4,482.38
10.79,39.82,1012.89,88.25,479.92
27.49,63.76,1010.09,62.8,436.73
9.66,41.06,1021.21,84.7,482.2
27.56,63.9,1013.23,45.97,442.43
8.73,36.18,1013.66,77.74,479.25
28.19,67.45,1013.97,49.76,434.77
32.49,71.32,1005.03,57.12,433.59
19.4,49.69,1012.89,75.53,455.6
7.55,38.08,1019.37,76.32,485.49
4.71,42.07,1005.35,82.26,486.79
29.72,74.78,1009.32,55.25,438.19
26.38,59.92,1009.99,71.91,444.85
5.02,40.64,1021.2,93.27,485.28
18.42,63.94,1020.47,74.47,450.55
26.12,63.31,1013.97,51.6,439.77
22.45,41.54,1012.69,70.89,460.07
20.1,59.87,1018.97,87.23,444.71
30.67,72.86,1004.25,52.72,432.76
7.66,41.92,1031.96,82.48,485.11
12.28,41.49,1019.73,94.79,467.44
28.66,77.95,1009.56,69.07,431.23
23.27,68.28,1005.01,74.83,444.86
8.57,41.17,1020.18,72.47,484.2
25.61,58.86,1013.9,54.9,444.77
21.11,69.94,1004.37,84.26,439.91
29.8,69.34,1009.36,64.74,437.65
27.16,47.43,1009.17,45.79,442.85
28.46,60.23,1010.2,63.38,439.88
3.31,39.42,1024.05,84.31,487.19
33.7,68.27,1007.16,50.41,427.4
10.02,39.66,1016.34,79.98,480.05
26.2,71.73,1009.99,74.99,434.08
10.47,41.06,1022.24,81.16,477.47
23.43,63.94,1010.64,89.29,440.16
19.05,62.96,1020.48,83.04,454.26
14.56,53.82,1016.37,64.46,463.64
25.79,59.43,1008.61,64.3,435.51
14.8,40.2,1012.87,88.35,466.27
26.92,63.73,1010.29,68.6,440.35
14.78,38.58,1017.02,82.4,460.54
18,44.06,1016.8,78.88,454.59
23.24,45.01,1012.21,45.23,457.01
25.35,72.99,1007.65,84.09,436.29
26.55,60.23,1009.88,79.54,438.95
31.53,70.36,1006.29,57.11,438.71
7.91,41.79,1021.86,54.92,479.02
22.87,71.29,1008.1,73.1,442.27
21.47,60.93,1006.46,87.83,442.75
31.15,66.25,1008.89,61.08,437.55
26.07,71.37,1008.6,79.48,439.25
22.64,62.44,1011.82,75.07,448.13
8.18,40.02,1031.45,73.66,478.81
21.38,49.21,1012.49,53.77,449.66
24.17,59.44,1012.66,78.53,447.13
28.31,74.34,998.42,79.23,431.95
32.41,58.9,1003.26,45.33,439.11
27.01,71.25,1000.46,87.95,431.38
32.92,69.05,1000.74,39.61,426.61
21.8,51.3,1012.07,89.51,450.25
24.64,58.79,1009.82,73.96,444.26
18.32,42.28,1007.86,45.62,460.27
13.18,40.73,1017.62,94.4,465.96
