Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar_radiation,TARGET
25.1,22.9,67.06274414,95.05730438,27.67488059,21.6033782,6.508660525,54.83528167,0.357967348,0.247447623,0.134012675,0.104079189,0,0,0,0,37.4562,126.955,208.507,5.1782,5804.408691,30
33.6,25.9,52.95447922,86.75091553,32.86646664,26.07003722,6.402359188,116.2068002,0.020396131,0.102575704,0.019292987,0.079995482,0,0,0,0,37.4832,127.024,56.4448,1.2313,5258.703613,34.5
25.9,18.7,27.16726112,86.15664673,24.2254465,17.63693705,7.239005804,62.55209927,0.392107803,0.075662851,0.04764763,0.100395802,0,0,0,0,37.5776,127.083,59.8324,2.6865,4513.875488,24.6
28,18,41.2482872,78.5304718,26.13724393,18.96169474,5.42751497,65.04171371,0.078449534,0.432742203,0.37958119,0.485285698,0,0,0,0,37.4697,126.995,82.2912,2.2579,4565.883301,25.4
31.9,22.6,47.25299454,72.39917755,30.67127191,23.86412465,6.383438895,19.36523759,0.117845968,0.159202471,0.510761112,0.500421462,0,0,0,0,37.5507,126.988,132.118,0.5931,5589.288574,28.9
31.8,23,53.59107208,91.88838196,32.3055087,24.25468872,4.513049364,123.6445462,0.342412564,0.303535864,0.212329088,0.31344069,0.636331558,0.020298269,0,0.022370562,37.6181,127.099,53.4712,0.697,5451.944824,32.2
30.3,21,51.61782837,89.57739258,29.06965218,22.9799556,6.199736307,54.44932902,0.193229391,0.311706626,0.431707279,0.816845663,0,0,0,0.031923682,37.6046,127.032,44.7624,0.5141,5869.3125,30
26.7,22.9,63.82142639,93.83338928,26.3045085,21.60107109,5.798436582,59.26904261,0.871547939,0.612908923,0.378777473,0.067278852,7.440219204,0.096584424,0.005259187,0,37.4562,126.955,208.507,5.1782,4769.366211,27.9
27.2,21.4,66.48671722,82.84929657,25.10065312,22.7098802,4.379699022,38.9423569,0.434418436,0.404362862,0.587241353,0.358961898,0,0,0.102647678,0.007947446,37.5102,127.042,54.6384,0.1457,5855.803223,27
25.6,21.5,54.06805801,67.21927643,28.56024434,23.08146685,7.559451481,36.3159066,0.649262488,0.611862705,0.369228284,0.129344032,0,0,0,0,37.5237,126.909,17.2956,0.2223,5790.700195,30.9
32.6,27.1,63.1046257,89.14134979,30.95652497,26.4044609,5.901804407,57.23724349,0.611190152,0.316979229,0.315885573,0.1266628,0.71148469,0.020695085,0.19830586,0,37.5102,127.042,54.6384,0.1457,5428.76123,33.5
29.8,25,81.53427124,94.2142334,26.72366234,23.91319627,6.502229134,51.52371073,0.618971798,0.581633211,0.763678728,0.661320707,0.025058498,1.620972633,0,0,37.4967,126.826,50.9312,0.4125,5525.123047,27.5
