ID,CRIM,RM,AGE,DIS,B,LSTAT,TARGET
1,0.00632,6.575,65.2,4.09,396.9,4.98,24
4,0.08829,6.012,66.6,5.5605,395.6,12.43,22.9
5,0.22489,6.377,94.3,6.3467,392.52,20.45,15
7,0.09378,5.889,39,5.4509,390.5,15.71,21.7
11,0.7842,5.99,81.7,4.2579,386.75,14.67,17.5
12,0.80271,5.456,36.6,3.7965,288.99,11.69,20.2
13,0.7258,5.727,69.5,3.7965,390.95,11.28,18.2
14,1.25179,5.57,98.1,3.7979,376.57,21.02,13.6
15,0.85204,5.965,89.2,4.0123,392.53,13.83,19.6
17,0.75026,5.924,94.1,4.3996,394.33,16.3,15.6
18,0.84054,5.599,85.7,4.4546,303.42,16.51,13.9
19,0.67191,5.813,90.3,4.682,376.88,14.81,16.6
20,0.95577,6.047,88.8,4.4534,306.38,17.28,14.8
21,1.00245,6.674,87.3,4.239,380.23,11.98,21
22,1.13081,5.713,94.1,4.233,360.17,22.6,12.7
23,1.35472,6.072,100,4.175,376.73,13.04,14.5
25,0.06417,5.933,68.2,3.3603,396.9,9.68,18.9
26,0.09744,5.841,61.4,3.3779,377.56,11.41,20
27,0.08014,5.85,41.5,3.9342,396.9,8.77,21
28,0.02763,6.595,21.8,5.4011,395.63,4.32,30.8
30,0.15936,6.211,6.5,5.7209,394.46,7.44,24.7
31,0.12269,6.069,40,5.7209,389.39,9.55,21.2
32,0.17142,5.682,33.8,5.1004,396.9,10.21,19.3
35,0.08873,5.963,45.7,6.8147,395.56,13.45,19.7
36,0.0536,6.511,21.1,6.8147,396.9,5.28,25
37,0.04981,5.998,21.4,6.8147,396.9,8.43,23.4
38,0.0136,5.888,47.6,7.3197,396.9,14.8,18.9
40,0.02055,6.383,35.7,9.1876,396.9,5.77,24.7
43,0.10328,5.927,47.2,6.932,396.9,9.22,19.6
44,0.11027,6.456,67.8,7.2255,396.9,6.73,22.2
45,0.1265,6.762,43.4,7.9809,395.58,9.5,25
46,0.01951,7.104,59.5,9.2229,393.24,8.05,33
47,0.12816,5.885,33,6.498,396.9,8.79,20.9
49,0.15876,5.961,17.5,5.2873,376.94,9.88,21.7
51,0.19539,6.245,6.2,5.2873,377.17,7.54,23.4
53,0.09512,6.286,45,4.5026,383.23,8.94,21.4
54,0.10153,6.279,74.5,4.0522,373.66,11.97,20
55,0.08707,6.14,45.8,4.0905,386.96,10.27,20.8
56,0.08387,5.874,36.6,4.5026,396.06,9.1,20.3
57,0.04113,6.727,33.5,5.4007,396.9,5.29,28
58,0.04462,6.619,70.4,5.4007,395.63,7.22,23.9
59,0.03551,6.167,46.7,5.4007,390.64,7.51,22.9
60,0.05735,6.63,56.1,4.4377,392.3,6.53,26.6
63,0.04684,6.417,66.1,3.0923,392.18,8.81,22.6
64,0.03932,6.405,73.9,3.0921,393.55,8.2,22
65,0.04203,6.442,53.6,3.6659,395.01,8.16,22.9
70,0.14866,6.727,79.9,2.7778,394.76,9.42,27.5
71,0.11432,6.781,71.3,2.8561,395.58,7.67,26.5
72,0.22876,6.405,85.4,2.7147,70.8,10.63,18.6
73,0.13262,5.851,96.7,2.1069,394.05,16.47,19.5
74,0.1712,5.836,91.9,2.211,395.67,18.66,19.5
75,0.13117,6.127,85.2,2.1224,387.69,14.09,20.4
76,0.12802,6.474,97.1,2.4329,395.24,12.27,19.8
77,0.26363,6.229,91.2,2.5451,391.23,15.55,19.4
78,0.12329,5.913,92.9,2.3534,394.95,16.21,18.8
80,0.14231,6.254,84.2,2.2565,388.74,10.45,18.5
81,0.17134,5.928,88.2,2.4631,344.91,15.76,18.3
82,0.15098,6.021,82.6,2.7474,394.51,10.3,19.2
84,0.14476,5.731,65.2,2.7592,391.5,13.61,19.3
86,0.15038,5.856,97,1.9444,370.31,25.41,17.3
87,0.09849,5.879,95.8,2.0063,379.38,17.58,18.8
90,0.88125,5.637,94.7,1.9799,396.9,18.34,14.3
91,0.34006,6.458,98.9,2.1185,395.04,12.6,19.2
92,0.59005,6.372,97.9,2.3274,385.76,11.12,23
93,0.97617,5.757,98.4,2.346,262.76,17.31,15.6
94,0.55778,6.335,98.2,2.1107,394.67,16.96,18.1
95,0.32264,5.942,93.5,1.9669,378.25,16.9,17.4
99,4.0974,5.468,100,1.4118,396.9,26.42,15.6
100,2.15505,5.628,100,1.5166,169.27,16.65,15.6
101,2.36862,4.926,95.7,1.4608,391.71,29.53,14.6
102,2.33099,5.186,93.8,1.5296,356.99,28.32,17.8
103,2.73397,5.597,94.9,1.5257,351.85,21.45,15.4
106,2.14918,5.709,98.5,1.6232,261.95,15.79,19.4
107,1.41385,6.129,96,1.7494,321.02,15.12,17
108,3.53501,6.152,82.6,1.7455,88.01,15.02,15.6
109,1.42502,6.51,100,1.7659,364.31,7.39,23.3
110,1.46336,7.489,90.8,1.9709,374.43,1.73,50
113,2.44953,6.402,95.2,2.2625,330.04,11.32,22.3
114,1.20742,5.875,94.6,2.4259,292.29,14.43,17.4
115,2.3139,5.88,97.3,2.3887,348.13,12.03,19.1
116,0.13914,5.572,88.5,2.5961,396.9,14.69,23.1
118,0.08447,5.859,68.7,2.7019,393.23,9.64,22.6
119,0.06664,6.546,33.1,3.1323,390.96,5.33,29.4
120,0.05425,6.315,73.4,3.3175,395.6,6.29,24.6
121,0.06642,6.86,74.4,2.9153,391.27,6.92,29.9
124,0.08308,5.604,89.8,2.9879,391,13.98,26.4
125,0.06047,6.153,68.8,3.2797,387.11,13.15,29.6
127,0.07875,6.782,41.1,3.7886,393.87,6.68,32
129,0.0837,7.185,38.9,4.5667,396.9,5.39,34.9
130,0.06911,6.739,30.8,6.4798,389.71,4.69,30.5
131,0.08664,7.178,26.3,6.4798,390.49,2.87,36.4
133,0.04011,7.287,34.1,7.309,396.9,4.08,33.3
135,0.0315,6.975,15.3,7.6534,396.9,4.56,34.9
136,0.0351,7.853,33.2,5.118,392.78,3.81,48.5
137,0.13642,5.891,22.3,3.9454,396.9,10.87,22.6
138,0.22969,6.326,52.5,4.3549,394.87,10.97,24.4
140,0.43571,5.344,100,3.875,396.9,23.09,20
143,0.21719,5.807,53.8,3.6526,390.94,16.03,22.4
144,0.14052,6.375,32.3,3.9454,385.81,9.38,28.1
147,0.0456,5.888,56,3.1121,392.8,13.51,23.3
