ID,CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,TARGET
1,0.00632,18,2.31,0.538,6.575,65.2,4.09,296,15.3,396.9,4.98,24
4,0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,311,15.2,395.6,12.43,22.9
5,0.22489,12.5,7.87,0.524,6.377,94.3,6.3467,311,15.2,392.52,20.45,15
7,0.09378,12.5,7.87,0.524,5.889,39,5.4509,311,15.2,390.5,15.71,21.7
11,0.7842,0,8.14,0.538,5.99,81.7,4.2579,307,21,386.75,14.67,17.5
12,0.80271,0,8.14,0.538,5.456,36.6,3.7965,307,21,288.99,11.69,20.2
13,0.7258,0,8.14,0.538,5.727,69.5,3.7965,307,21,390.95,11.28,18.2
14,1.25179,0,8.14,0.538,5.57,98.1,3.7979,307,21,376.57,21.02,13.6
15,0.85204,0,8.14,0.538,5.965,89.2,4.0123,307,21,392.53,13.83,19.6
17,0.75026,0,8.14,0.538,5.924,94.1,4.3996,307,21,394.33,16.3,15.6
18,0.84054,0,8.14,0.538,5.599,85.7,4.4546,307,21,303.42,16.51,13.9
19,0.67191,0,8.14,0.538,5.813,90.3,4.682,307,21,376.88,14.81,16.6
20,0.95577,0,8.14,0.538,6.047,88.8,4.4534,307,21,306.38,17.28,14.8
21,1.00245,0,8.14,0.538,6.674,87.3,4.239,307,21,380.23,11.98,21
22,1.13081,0,8.14,0.538,5.713,94.1,4.233,307,21,360.17,22.6,12.7
23,1.35472,0,8.14,0.538,6.072,100,4.175,307,21,376.73,13.04,14.5
25,0.06417,0,5.96,0.499,5.933,68.2,3.3603,279,19.2,396.9,9.68,18.9
26,0.09744,0,5.96,0.499,5.841,61.4,3.3779,279,19.2,377.56,11.41,20
27,0.08014,0,5.96,0.499,5.85,41.5,3.9342,279,19.2,396.9,8.77,21
28,0.02763,75,2.95,0.428,6.595,21.8,5.4011,252,18.3,395.63,4.32,30.8
30,0.15936,0,6.91,0.448,6.211,6.5,5.7209,233,17.9,394.46,7.44,24.7
31,0.12269,0,6.91,0.448,6.069,40,5.7209,233,17.9,389.39,9.55,21.2
32,0.17142,0,6.91,0.448,5.682,33.8,5.1004,233,17.9,396.9,10.21,19.3
35,0.08873,21,5.64,0.439,5.963,45.7,6.8147,243,16.8,395.56,13.45,19.7
36,0.0536,21,5.64,0.439,6.511,21.1,6.8147,243,16.8,396.9,5.28,25
