LEVEL_POS,SHIP_SPEED,GAS_TURBINE_SHAFT,GAS_TURBINE_RATE,GAS_GENERATOR_RATE,STARBOARD,PORT,HP_TURBINE_EXIT_TEMP,GT_COMPRESSOR_INLET_TEMP,GT_COMPRESSOR_OUTLET_TEMP,HP_TURBINE_EXIT_PRESS,GT_COMPRESSOR_INLET_AIR_PRESS,GT_COMPRESSOR_OUTLET_AUR_PRESS,GAS_TURBINE_EXHAUST,TURBINE_INJECTION_CONTROL,FUEL_FLOW,TARGET1,TARGET2
8.206,24,50993.404,3087.471,9303.791,438.11,438.11,907.845,288,726.805,3.59,0.998,18.39,1.042,59.197,1.172,0.988,0.993
8.206,24,50993.441,3087.465,9299.526,438.081,438.081,910.423,288,726.412,3.597,0.998,18.507,1.042,59.527,1.178,0.992,0.988
5.14,15,21627.792,1924.307,8468.93,175.252,175.252,717.056,288,638.905,2.087,0.998,11.238,1.026,25.725,0.509,0.977,0.975
7.148,21,38990.306,2678.083,9129.789,332.19,332.19,811.792,288,686.986,2.969,0.998,15.385,1.036,42.992,0.851,0.979,0.998
3.144,9,8375.694,1386.738,7049.748,60.317,60.317,588.066,288,580.015,1.392,0.998,7.559,1.02,12.41,0.246,0.982,0.979
2.088,6,6643.926,1384.715,6827.383,29.747,29.747,588.51,288,570.456,1.325,0.998,7.076,1.02,4.017,0.243,0.981,1
9.3,27,72773.852,3560.411,9760.913,645.005,645.005,1067.931,288,776.296,4.511,0.998,22.506,1.051,88.462,1.751,0.978,0.993
2.088,6,6600.256,1386.605,6772.137,30.093,30.093,594.066,288,570.333,1.327,0.998,7.171,1.02,2.734,0.246,0.991,0.986
7.148,21,39006.458,2678.028,9117.758,332.354,332.354,808.807,288,683.226,2.986,0.998,15.574,1.036,43.034,0.852,0.996,0.99
9.3,27,72777.044,3560.429,9781.976,645.017,645.017,1089.338,288,783.225,4.487,0.998,22.382,1.049,89.955,1.781,0.959,0.993
9.3,27,72779.097,3560.421,9769.816,644.93,644.93,1065.319,288,776.395,4.499,0.998,22.301,1.05,87.976,1.742,0.975,1
7.148,21,39015.812,2677.936,9110.683,332.502,332.502,824.726,288,686.095,2.994,0.998,15.829,1.036,44.292,0.877,0.995,0.975
5.14,15,21632.775,1924.327,8488.257,175.282,175.282,710.078,288,638.936,2.081,0.998,11.087,1.026,25.265,0.5,0.968,0.987
1.138,3,2917.426,1412.272,6702.927,11.092,11.092,510.06,288,554.828,1.205,0.998,6.416,1.019,0,0.142,0.986,0.999
2.088,6,3623.411,1384.496,6846.524,29.628,29.628,511.962,288,561.372,1.229,0.998,6.552,1.02,0,0.141,0.969,0.997
5.14,15,21632.008,1924.309,8481.22,175.246,175.246,723.926,288,642.112,2.083,0.998,11.218,1.026,26.035,0.515,0.964,0.975
9.3,27,72761.045,3560.376,9742.028,644.948,644.948,1073.568,288,776.314,4.535,0.998,22.923,1.051,89.474,1.771,0.984,0.979
7.148,21,38986.676,2678.085,9132.158,332.131,332.131,818.357,288,689.458,2.966,0.998,15.395,1.036,43.397,0.859,0.972,0.996
4.161,12,14721.519,1547.462,7770.412,113.766,113.766,630.201,288,604.357,1.659,0.998,8.845,1.023,16.709,0.331,0.978,0.996
1.138,3,253.547,1339.635,6717.352,7,7,453.57,288,547.048,1.093,0.998,5.832,1.019,10.216,0.078,0.952,0.995
2.088,6,3104.07,1376.35,6731.09,28.063,28.063,499.629,288,555.923,1.213,0.998,6.57,1.02,2.957,0.127,0.998,0.978
7.148,21,38977.474,2678.079,9140.005,332.162,332.162,830.778,288,694.947,2.955,0.998,15.356,1.035,44.087,0.873,0.955,0.995
3.144,9,8378.728,1386.755,7106.522,60.354,60.354,596.855,288,584.693,1.389,0.998,7.534,1.02,12.728,0.252,0.959,0.981
2.088,6,6346.321,1388.928,6829.715,30.532,30.532,580.529,288,569.864,1.318,0.998,7.038,1.02,1.09,0.23,0.98,0.999
9.3,27,72772.738,3560.397,9745.966,645.11,645.11,1048.093,288,770.249,4.528,0.998,22.531,1.052,86.928,1.721,0.994,0.996
4.161,12,14717.87,1547.447,7713.017,113.738,113.738,629.939,288,601.975,1.664,0.998,8.942,1.023,16.762,0.332,0.996,0.987
4.161,12,14721.734,1547.458,7761.229,113.761,113.761,648.583,288,609.062,1.66,0.998,8.979,1.022,17.562,0.348,0.968,0.98
5.14,15,21631.096,1924.313,8480.113,175.281,175.281,718.832,288,640.567,2.083,0.998,11.19,1.026,25.769,0.51,0.968,0.978
7.148,21,38999.948,2678.064,9123.185,332.315,332.315,801.196,288,682.322,2.979,0.998,15.417,1.036,42.39,0.839,0.994,0.999
