VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,VAR103,VAR121,VAR122,VAR123,VAR128,target
207951,2.42,27.58,69.18,2.47,1.41,15.95,35.77,19.54,7.94,207951,100,32451,86.08,1.07,45.56,17.63,4.07,11.01,42212,16896,20106,9460,12321,11232,10005,13263,22942,11.8,4.77,13.44,40.56,3.97,68.92,12.34,27.11,7.46,35.46,9.84,42.21,13.94,11.97,2.92,69.26,66.76,81.34,69.03,65.99,72.95,7020,6.06,10434,26.47,40.77,52.89,60.03,1.33,2.05,2.65,3.01,93.07,0.98,3.13,1.8,2.26,2.5,2.05,51.85,2.62,55.36,2,6821,92.64,46.88,1.06,22.25,1974,3.65,0.26,72500,96600,135300,62800,320,394,474,154,479,24.6,22.1,12.6,215,2,5.02,56.1,36.91,65.43,80.42,91.3,2277.5,2.79,7.02,842.7
22686,3.39,14.26,59.55,17.05,16.07,15.47,28.47,11.88,3.3,22686,100,40865,87.72,0.45,31.44,12.1,10.55,15.24,42457,12539,14067,12461,13887,8836,8957,8845,2112,9.37,7.2,17.9,12.84,7.31,67.79,13.39,17.68,13.45,19.73,8.56,26.69,12.57,10.59,3.65,78.92,75.07,85.62,79.39,58.13,65.14,379,2.62,3789,16.07,28.29,35.81,53.1,2.68,4.73,5.98,8.87,75.23,5.25,11.23,9.49,3.39,3.43,3.31,66.37,9.86,27.77,3,336,95.22,65.58,13.1,14.58,1980,3.93,0.54,126600,140300,158500,31900,419,521,704,285,610,32.7,27.3,11.6,0,0,16.7,48.13,29.61,55.21,83.9,3.7,6151.3,1.95,0,385.5
24832,2.38,10.39,86.05,1.41,16.5,9.66,26.43,11.67,10.67,0,0,28121,80.82,0.84,38.07,19.69,5.32,13.61,31663,15547,16460,9337,23290,13734,8182,13547,2507,10.39,9.45,20.15,20.84,2.86,71.63,2.91,16.67,7.47,23.8,14.95,37.06,16.99,15.89,2.97,76.31,73.2,85.14,78.33,67.8,78.17,291,1.99,2312,12.93,16.78,22.92,30.28,1.2,1.56,2.13,2.82,78.79,3.64,3.51,2.03,2.31,2.27,2.35,41.27,5.5,65.73,2,1797,85.3,42.06,1.84,20.87,1957,8.58,1.21,103400,147400,197900,94500,419,559,730,311,608,30.9,26.7,12.8,0,113,9.31,33.18,37.97,57.39,66.45,5.7,4378,1.67,0,1523.92
23260,3.08,5.38,90.53,1.4,5.97,12.2,26.12,9.04,2.87,23299,100,48121,93.32,0.43,45.68,9.17,1.79,7.2,49768,17237,17520,14906,13337,18123,11340,12573,588,2.53,2.17,9.43,27.42,3.14,78.55,18.73,20.05,8.62,34.06,6.56,17.08,8.75,7.67,3.3,89.58,87.43,95.14,88.05,71.23,76,157,1.2,746,9.25,21.18,32.17,43.97,0.3,0.68,1.03,1.41,92.88,1.07,4.15,3.64,3.08,3.07,3.13,87.75,2.67,10.84,3,592,92.74,87.95,2.03,53.21,1984,0.98,0.11,75900,88700,105200,29300,384,531,654,270,682,23.6,24.2,12.1,0,0,3.2,61.81,36.41,73.04,89.38,19.4,1200.5,1.23,0,349.87
23163,2.49,0.29,98.16,1.15,0.71,13.2,27.45,13.1,14.12,23163,100,31877,77.86,0.54,48.74,30.19,5.98,20.41,37531,14885,14946,15923,17756,8286,2952,16698,1608,7.15,4.16,14.54,21.44,4.22,66.26,9.88,24.07,11.58,26.17,8.27,32.4,12.93,10.78,2.95,73.72,69.34,84.47,68.98,71.73,77.2,247,1.41,929,7.64,9.69,17.22,32.72,0.31,0.39,0.69,1.31,94.92,0.29,2.82,1.87,2.42,2.58,2.15,66.72,0.82,50.19,2,425,95.62,62.56,0.47,43.06,1949,0.84,0.43,85600,105600,126800,41200,357,458,565,208,531,26.5,22.2,13.8,6,0,4.01,71.64,57.54,83.13,90.07,12.3,1877.8,2.42,0,154.77
12967,2.38,20.03,78.72,0.52,1.66,10.58,19.91,9.39,25.46,0,0,21328,58.38,0.91,41.97,49.2,6.28,24.97,25185,11829,13401,6070,14213,8674,3584,5939,1882,14.8,10.27,29.99,15.84,7.37,45.73,7.67,27.38,12,24.36,9.46,18.92,12.8,11.33,2.81,63.58,58.97,69.63,73.18,64.73,72.97,411,3.68,500,6.8,8.8,8.8,13.2,0.26,0.34,0.34,0.51,95.7,0.14,4.05,2.77,2.32,2.32,2.31,66.02,3.4,62.11,2,876,86.13,65.93,1.14,25.57,1973,8.49,0.11,46000,64500,90000,44000,193,305,382,189,369,28.7,22.6,12.2,0,0,3.86,35.04,41.24,69.69,80.09,7.7,1690.2,0,0,508.57
17710,2.41,0.4,95.31,1.41,1.63,12.71,22.59,10.6,16.17,0,0,24685,66.93,0.12,46.43,34.75,8.42,21.68,30585,12919,12665,6199,27620,7293,7463,7408,2395,13.89,5.96,20.41,14.37,7.46,53.27,15.71,23.61,14.6,23.36,12.29,24.84,15.85,14.17,2.9,68.28,66.6,77.49,69.06,59.77,67.55,258,1.74,728,8.79,18.27,19.09,20.74,0.36,0.75,0.78,0.85,96.06,0.42,3.69,2.38,2.34,2.43,2.21,62.4,2.32,47.98,3,473,93.96,60.14,2.33,22.62,1957,3.93,0.57,53600,69600,92500,38900,224,308,381,157,372,27,18.4,12.1,35,1,4.11,52.98,47.83,75.64,84.42,10.1,1748.6,2.51,0,239.32
52179,2.46,0.79,93.76,2.78,2.41,19.04,35.4,23.07,12.01,52278,100,24714,75.72,0.56,49.07,25.42,6.3,16.37,33705,13698,13902,6082,12067,12411,5894,8598,8033,16.68,5.02,14.77,28.16,4.73,61.09,12.22,27.81,12.03,27.08,10.27,41.41,13.49,11.97,2.87,69.13,68.05,79.81,72.68,57.71,69.73,731,2.3,3716,15.53,22.6,27.66,36.3,1.11,1.61,1.97,2.59,93.27,1.45,3.3,1.91,2.27,2.46,2.07,55.2,2.78,58.52,2,925,95.82,50.94,2.38,26.05,1962,2.66,0.33,66600,89100,129000,62400,287,371,458,171,426,29.1,19.4,11.9,131,13,7.11,52.17,36.71,65.63,86.27,22.8,2287.7,3.14,0,339.31
10579,2.77,0.52,98.11,0.97,0.9,11.83,23.43,10.64,9.34,0,0,38868,84.91,1.9,50.22,20.23,5.43,16.54,44004,15493,15574,23821,14118,6925,0,12979,983,9.32,8.66,19.52,28.86,3.76,70.87,16.2,33.78,11.22,31.04,8.93,30.43,10.92,9.95,3.14,80.75,79.84,87.36,84.75,59.58,71.02,145,2.19,335,24.78,24.78,24.78,47.16,0.78,0.78,0.78,1.49,94.78,0.57,3.75,2.77,2.7,2.87,2.14,81.14,1.46,42.85,3,163,95.91,76.21,1.84,36.2,1975,0,0.68,109900,137900,168300,58400,230,420,579,349,477,26.9,21.9,16.2,0,0,3.17,75.23,55.11,71.93,91.41,54.6,193.6,1.24,0,375.6
37729,2.6,31,65.5,2.27,3.31,11.66,24.26,11.46,12.82,37729,100,52442,81.59,0.79,54.17,27.42,3.42,15.01,65842,28940,35800,15315,14554,29142,12375,16000,2223,6.03,4.26,13.03,49.32,5.41,67.38,11.44,34.44,6.51,47.81,8.2,35.32,12.41,10.52,3.11,73.15,71.24,89.87,73.25,70.25,74.62,990,4.1,4179,14.17,24.19,33.05,39.34,1.57,2.68,3.66,4.36,89,0.77,5.91,3.88,2.52,2.92,2.02,64.67,2.05,45.86,3,551,96.34,55.85,3.63,43.92,1939,1.02,0.27,208200,271700,371800,163600,525,670,859,334,741,26.6,23.1,17.6,20,3,11.08,46.31,57.71,79.98,86.97,6.5,5776.7,19.72,4.08,509.18
