tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,TARGET
5.79485,6.78351,1.70148,10.21421,1.76913,2.14917,2.14312,2.35576,1.93179,1.67766,1.19626,1.13263,1.11974
1.01635,8.68670,6.21985,2.11143,3.70825,1.01620,2.18022,1.51250,1.72942,1.65088,1.16787,1.31951,1.03055
1.15483,1.50033,4.60426,1.81872,2.64648,1.95192,1.39422,2.42456,1.68764,1.35387,1.62312,1.93607,1.03055
9.07469,7.19827,5.62798,6.17064,3.53319,1.59881,1.27795,2.00721,1.54784,1.90131,1.69349,1.18401,1.15488
2.08276,6.98249,4.79078,9.06917,3.10801,1.79453,1.97769,1.53694,1.31386,1.48813,1.23781,1.08105,1.05264
7.99156,2.13135,3.32230,7.39206,4.34892,1.13223,1.07807,1.85795,1.72566,1.61075,1.88697,1.61791,1.11780
7.20521,10.02528,3.78031,1.08615,2.88524,1.55016,1.52692,2.45485,1.15927,1.04407,1.94295,1.43831,1.04101
2.73789,10.06001,2.59393,4.31014,2.10228,2.18829,2.13843,1.98817,1.67192,1.04266,1.19046,1.90775,1.06057
5.56159,1.47433,1.04194,4.80035,2.81434,1.83065,2.19516,1.57702,1.22437,1.24971,1.03275,1.84834,1.05894
1.50967,5.15127,7.34338,3.97965,4.26388,1.56750,1.51319,1.07260,1.43466,1.22265,1.79466,1.54029,1.09140
6.19174,1.04973,2.37638,3.75348,3.42808,1.77378,1.55867,1.65665,1.94065,1.46935,1.43957,1.44427,1.07736
7.35866,1.94328,8.44816,9.84938,4.35077,1.05365,1.39951,1.61324,1.26882,1.89163,1.27633,1.50343,1.07550
3.11901,1.72966,6.07799,9.90408,4.10598,1.14145,1.64189,1.52786,1.48254,1.83917,1.01673,1.00719,1.04093
7.04190,6.31774,7.26888,9.27583,3.79834,1.96148,1.46387,1.19348,1.24731,1.22892,1.34824,1.60780,1.11752
5.80611,2.95265,5.91404,5.46450,2.27112,2.04718,1.60831,2.49056,1.11043,1.90862,1.81697,1.13349,1.10726
7.11067,4.40171,9.73059,1.77194,3.17402,1.96123,1.72148,1.56044,1.23876,1.52004,1.58279,1.65331,1.07187
7.27150,2.11781,5.15795,9.60072,3.99158,1.12526,1.87752,1.42281,1.09532,1.49794,1.37266,1.11814,1.05184
1.35567,8.71941,9.28462,6.75623,4.05604,1.14249,1.16264,2.05600,1.47750,1.31506,1.94022,1.77482,1.12903
8.00675,9.55317,5.13114,8.61322,2.97098,2.37760,1.92128,1.14731,1.86341,1.68351,1.55209,1.90759,1.17503
1.23575,7.45933,9.58641,8.51057,3.95115,1.12460,2.13065,1.21077,1.88044,1.74418,1.47379,1.12412,1.08130
4.38494,9.57290,2.81679,7.63028,3.54076,1.98476,1.02036,1.87129,1.46412,1.35320,1.39924,1.75859,1.11043
10.20338,8.15721,8.44360,10.00680,3.10479,1.26176,1.80755,2.24308,1.22891,1.04710,1.78582,1.11037,1.10855
6.10596,3.83910,2.64051,3.80505,2.65739,2.39069,1.79617,1.57293,1.79216,1.25841,1.18241,1.63027,1.10534
5.81978,9.21626,2.03531,4.17779,3.91049,2.02390,1.31416,1.16863,1.50935,1.26487,1.46541,1.71296,1.08323
2.42521,7.32170,5.03409,7.94323,3.39653,1.65001,1.07385,2.29678,1.83196,1.89342,1.27183,1.44686,1.12051
