GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
3,12,3,8,10,8.67,8.5,9,93,14,22,44,2,6,16,139200,27,38942
3,11,2,9,11,10.33,8.27,22,102,11,21,45,5,10,22,253100,0,92514
2,13,1,8,13.11,9.06,3.93,19,75,7,15,29,2,6,13,134400,41,0
4,9,3,7,7,5.5,5.22,21,44,6,14,19,2,6,8,62500,28,0
1,20,1,8,25,36,26.95,18,105,21,39,101,6,17,30,51500,37,44947
1,1,1,1,15,15,15,19,19,7,11,10,2,4,4,218900,26,0
2,12,1,6,12,11,6.08,20,112,15,34,69,6,14,28,52900,35,53400
2,2,1,1,20,17.5,17.5,18,23,12,24,21,6,12,10,107100,32,77654
2,14,0,4,13,11,7.21,21,86,12,30,59,5,5,23,68300,31,43756
8,21,6,12,9,7.25,9.24,4,75,25,46,88,11,21,32,86000,35,51338
5,18,3,13,8,7.6,5.67,16,130,11,30,70,6,16,30,43900,43,28618
1,1,1,1,15,15,15,19,19,10,16,14,4,7,6,74400,42,41736
3,13,2,10,10,10,8.92,20,110,13,30,57,6,13,23,57600,19,0
11,38,7,23,5,5.09,4.97,15,127,14,34,83,7,18,34,66900,40,42537
4,20,3,11,10,11.25,7.85,18,109,6,14,43,2,6,19,93700,44,0
6,28,4,17,10,10.5,8.75,16,126,15,35,86,6,17,34,78600,18,82719
4,5,2,2,6,6.75,6.6,15,24,13,22,21,5,9,8,124500,27,0
3,17,3,9,10,6.67,6.71,18,63,13,33,61,5,15,21,62100,19,40308
4,5,2,3,10,13,15.4,15,44,14,35,43,6,16,16,54200,32,43084
1,4,1,3,20,20,11.25,17,53,14,31,38,6,14,15,106400,25,53635
3,4,3,3,11,11,9.75,16,27,13,27,27,6,13,11,85300,14,65546
9,22,7,11,15,13.33,11.55,4,112,30,50,102,11,22,41,161800,30,84071
2,7,1,4,21,21,12.43,17,87,15,33,59,6,14,23,77000,30,43231
9,28,7,19,5,5,5,17,92,13,30,62,6,17,27,48700,27,33629
4,18,0,8,10,8.25,6.44,15,130,14,34,75,6,6,31,41200,14,27259
3,4,3,3,8,6,7,16,29,12,25,24,6,12,10,87000,30,46776
4,6,1,1,10,6.25,6.67,18,40,13,33,35,6,15,14,63500,26,50251
5,11,4,6,14,11.6,9.09,17,87,14,35,57,6,17,23,50600,36,45282
5,15,5,10,10,8.2,6.53,18,62,14,36,52,6,17,21,107000,32,0
2,6,1,4,20,20,14.5,16,87,13,34,60,6,16,23,112800,32,92715
1,1,1,1,20,20,20,17,17,10,15,13,4,6,5,51900,24,36337
2,9,1,5,25,20,10.89,20,128,13,35,63,6,17,29,55200,34,43669
4,5,2,3,12,13.25,11.6,18,41,15,35,38,6,15,14,81600,42,44986
3,9,1,5,10,11.33,11.33,17,81,13,31,57,6,13,20,53800,33,41976
2,24,0,6,26,27.5,20.17,5,126,25,42,101,4,4,28,51000,51,40364
2,3,2,3,15,12.5,15,15,24,6,11,10,2,5,5,53700,43,0
3,4,2,2,19,14.33,12,15,44,12,28,35,3,10,12,51700,27,46573
2,2,0,0,25,17.5,17.5,19,27,13,27,24,6,6,11,56200,23,41391
3,8,1,4,30,23.33,17.63,17,80,13,34,60,6,16,23,128500,28,90527
6,7,3,3,7,5.67,5.29,18,40,13,33,33,6,15,14,63200,44,44357
4,4,3,3,14,12,12,17,35,12,26,26,6,14,12,94900,34,45690
3,3,2,2,25,25.67,25.67,16,23,14,22,20,6,10,8,40300,21,31294
5,13,2,8,7,7.4,7.23,15,99,11,26,54,5,11,23,142700,58,66263
4,41,2,24,9,10,8.68,23,112,4,12,44,2,6,20,107000,43,0
2,2,2,2,15,12.5,12.5,20,24,6,11,11,2,5,5,55000,31,0
3,9,1,6,14,14,9.78,19,113,16,35,63,6,14,26,90300,36,51649
3,3,1,1,20,14,14,21,32,13,27,26,6,13,11,149100,37,0
3,4,3,3,19,18,15.75,21,37,12,30,31,6,15,13,73800,39,65734
5,12,4,8,11,10,8.5,17,67,13,32,50,6,17,22,50400,40,29144
4,20,3,9,10,10,9.6,10,102,37,56,109,6,16,30,40400,34,34398
4,15,1,9,13,12,8.53,18,107,13,35,69,6,17,28,97400,56,0
5,6,3,3,5,4.8,5,18,33,13,30,29,6,14,12,50400,25,35515
5,14,3,7,10,10.4,12.21,20,89,13,33,67,6,17,26,63100,30,47156
1,1,1,1,15,15,15,23,23,8,18,16,3,7,6,66800,32,40184
5,9,3,6,10,16.2,12.22,15,75,16,36,56,6,15,20,51700,30,37049
8,11,4,4,7,7.63,7,15,40,13,31,34,6,16,15,86300,48,0
2,18,1,13,10,10,8.78,24,130,12,30,73,4,11,28,67800,46,0
7,31,5,14,10,10,6,22,129,22,42,110,9,19,44,47500,30,0
2,13,0,8,10,10,6.92,20,126,7,21,62,3,3,25,52500,28,45627
2,3,1,1,25,17.5,20,17,29,14,29,27,6,14,12,49800,28,39725
2,16,1,11,10,10,6.88,23,128,10,29,71,4,12,30,49800,21,45536
5,10,2,5,8,8,7.5,18,113,12,31,52,6,14,23,54300,36,41125
3,11,3,8,13,11,10.36,17,105,13,32,63,6,15,27,48100,32,34388
3,7,1,3,20,18,14.57,18,76,14,35,58,6,16,22,52900,27,36151
1,12,0,5,25,25,15.5,5,123,15,37,74,6,6,32,70100,40,41358
2,11,1,7,15,12,9.91,26,110,10,20,39,4,9,19,82400,37,43304
1,1,1,1,20,20,20,26,26,7,19,16,3,8,7,82400,37,0
2,18,0,9,38,38,27.28,26,119,13,35,80,5,5,31,109500,38,49451
2,19,2,12,10,20.5,10.11,16,121,27,40,82,5,14,31,104400,45,49656
2,20,2,13,12,11,9.95,21,124,13,32,77,6,15,30,44400,31,35945
3,16,1,8,5,5,5.06,8,119,17,35,72,6,14,30,68000,30,32465
3,3,1,1,10,10,10,18,24,12,23,21,6,11,9,51400,28,45878
11,31,6,14,3,4.18,3.36,7,128,16,37,74,7,18,31,62000,30,41952
2,18,1,13,10,10,4.94,15,125,11,28,72,3,10,28,53600,24,31140
1,14,1,12,10,10,9.57,17,129,7,12,37,3,7,20,101500,47,56392
2,3,2,2,10,7.5,7,16,20,6,9,9,2,4,4,101500,47,0
1,6,0,3,20,20,12.83,25,111,9,27,60,4,4,25,81000,28,71568
3,6,2,2,10,14,12,18,35,13,31,31,6,15,13,76100,45,55068
4,23,1,12,20,15.75,14.36,18,85,2,9,27,1,4,14,55000,17,0
4,5,2,2,15,8,9.4,17,32,13,29,27,6,13,11,68800,33,57930
3,5,2,2,20,18.67,19.6,20,44,13,35,42,6,17,17,49000,27,40705
3,12,2,8,10,9.33,7.25,22,88,13,33,60,6,16,24,86900,30,49025
5,16,3,8,14,10.8,9.06,18,80,15,34,62,6,17,25,38100,34,40049
3,22,2,7,18,20,13.91,18,130,34,54,116,6,17,33,39900,28,36977
3,6,1,2,25,14,13.17,18,42,13,33,33,6,15,14,68900,51,26328
2,2,2,2,15,12.5,12.5,17,30,11,20,17,4,9,8,72800,43,0
1,2,1,2,16,16,13,21,45,10,24,29,4,9,10,108200,28,67067
4,11,4,8,10,7.75,7.18,17,97,13,28,63,6,15,24,44100,20,52847
3,13,2,7,16,12,8.77,23,128,12,33,67,6,16,31,78100,46,41794
2,5,0,2,20,20,12.2,18,68,13,33,47,6,6,18,38300,5,41794
4,32,3,12,7,7.5,6.84,8,105,37,53,122,7,15,31,59800,20,40235
