TARGET,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
10,8,10,6,7,8,6.13,5.8,21,41,12,30,34,6,16,15,52600,23,37100
10,6,6,4,4,10,8.33,8.33,22,33,14,32,30,6,15,13,187500,32,36408
5,7,18,5,9,5,5.57,5.33,17,73,13,33,57,6,16,23,201900,33,86306
5,5,7,2,4,10,6,5.71,18,45,4,12,15,2,6,8,80300,33,0
10,1,1,1,1,15,15,15,20,20,8,14,13,3,6,5,73100,43,46002
5,1,1,1,1,15,15,15,17,17,10,15,13,4,6,5,58400,0,56296
6,3,3,3,3,10,6.67,6.67,17,24,13,23,22,6,11,9,77300,34,63159
25,3,20,3,12,25,25,21.6,4,119,37,58,117,7,18,33,264500,27,84986
20,1,2,0,0,20,20,20,18,44,10,25,32,3,3,11,276300,32,76357
10,8,49,7,23,10,10.75,9.92,23,105,15,34,76,5,16,28,99100,29,0
5,8,14,7,8,6,4.25,3.86,15,65,15,36,54,6,17,20,29800,39,0
12,4,8,2,4,14,12.25,8.63,16,80,14,33,52,6,14,19,133300,3,0
10,3,26,3,14,13,12,9.88,21,128,13,33,77,6,17,34,38000,29,32959
20,2,15,0,11,20,18.5,13.73,21,129,12,32,75,6,6,33,59900,37,46146
5,3,4,1,1,10,10,10,15,23,14,22,19,6,10,8,51800,42,0
10,3,3,3,3,15,11.67,11.67,21,29,12,25,24,6,13,11,249400,37,69964
8,6,9,2,3,8,8.17,7.11,18,52,12,33,40,6,16,17,71500,25,37566
13,4,21,3,17,13,13.25,10.67,24,128,7,21,69,4,13,31,75000,19,25144
14,4,15,3,8,13,12,8.13,18,111,14,28,63,6,13,24,81000,41,65734
6,4,13,1,4,5,7.25,5.54,15,80,11,28,53,5,12,19,36500,23,29862
17,2,4,2,2,10,22.5,15,15,44,14,32,36,6,15,15,92900,27,83308
15,1,1,0,0,15,15,15,16,16,11,16,13,4,4,5,134500,18,45897
10,4,4,2,2,10,6.25,6.25,19,27,14,27,25,6,12,10,99800,46,50948
9,3,11,2,5,4,8.67,5.45,15,69,15,33,53,6,13,18,25800,26,42784
15,7,19,6,13,15,14.86,9.63,21,76,13,32,59,6,17,24,597600,35,137945
5,4,23,2,10,5,5,4.61,16,90,6,15,50,3,8,19,31000,31,41046
25,2,4,1,2,25,25,18.75,22,44,13,33,37,6,15,15,90200,40,66392
20,2,3,1,2,20,20,16.67,15,35,13,27,25,5,11,11,92700,39,0
10,2,6,2,6,25,25,26.67,23,45,2,9,13,1,5,7,95200,22,0
7,4,5,1,1,7,7,6.6,15,30,12,23,23,6,11,9,39600,27,0
4,9,12,5,6,4,4.22,4.17,19,40,11,32,33,6,16,15,151600,28,66348
20,2,12,1,8,20,20,9.25,23,112,11,29,67,5,13,28,63900,30,40186
12,2,5,0,2,15,12.5,8.6,18,69,11,29,48,5,5,17,50600,26,49016
5,3,7,1,3,3,17.67,15.29,15,52,11,33,42,6,17,18,36000,35,0
12,4,15,3,7,10,11.5,8.53,19,123,13,35,63,6,17,27,273800,28,53625
10,4,35,2,18,10,10.75,9.83,15,130,10,30,82,5,15,32,278000,50,0
10,4,31,3,17,10,15.75,12.61,27,119,10,29,77,4,14,30,33400,51,45654
12,3,3,1,1,15,12.33,12.33,15,24,14,24,22,5,9,8,95500,27,0
5,5,6,4,4,5,5.2,4.83,15,29,13,27,27,6,12,10,109900,39,41923
20,4,9,2,6,15,15,14.22,23,90,12,34,61,6,17,25,34000,36,0
10,4,5,3,4,10,10,9,16,29,14,28,27,6,14,12,73300,27,0
10,3,4,3,3,10,8.67,9,19,29,13,25,25,6,12,10,68300,32,0
16,3,3,1,1,15,15.67,15.67,15,29,12,25,23,5,11,10,194600,42,38841
13,7,22,3,6,9,8.71,10.05,4,69,45,65,99,13,24,23,131800,46,62350
20,8,37,5,14,15,11.13,10.54,11,128,29,49,125,10,19,45,70500,0,0
12,2,3,1,1,10,10,10,17,30,11,26,23,5,12,10,136100,34,39524
5,5,10,4,6,5,5,5,15,53,12,29,42,6,16,18,69000,0,41558
15,7,15,5,12,7,7.71,6.47,16,122,13,34,62,6,16,28,76100,32,70359
10,4,4,3,3,20,16.25,16.25,21,31,13,27,27,6,13,11,320700,22,0
20,4,5,3,4,20,18.75,19,26,41,10,32,35,5,16,15,58800,32,40184
